"**Write down weight performed and RPE in the ""Actual numbers"" and ""Actual RPE"" column. 
**You can separate different weights used in different sets by commas.
**From week to week the goal is to increase weight by 2.5kg-10kg depending on what day it is.
",,,,,,,
,Weight/ Notes,Exercise,Sets x Reps,Numbers if you want to ,,Actual RPE/ NOTES IF YOU WANT ,
(Tuesday),,,,,,,
,,January 11,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Crab Position Breathing,3x10 breaths ,,,,
,,Decline rock back,,,,,
,,Ribcage crunch on right side ,,,,,
,,Abductor machine ,,,,,
,,Hip stretch ,,,,,
,,,,,,,
,,,,,,,
,RPE 7; 107.5-112.5; 107.5-110-115-120,Comp Bench,1x2,112.50,,,
Column 1,RPE 6-7; 92.5-95,Comp Bench,1x6,Column 5,Column 6,Column 7,Column 8
,RPE 7-8; 102.5-107.5,Comp Bench,1x5,105.00,,,
,92.5kg scales 2.5kg,Comp Bench,2x6,92.50,,,
,,,,,,,
,,Short lever Copenhagen Planks for time,1x30 seconds each side,,,,
,,Rock back Breathing ,2x10 breaths ,,,,
,,Squat Hold Internal Rotation Breathing,2x10,,,,
,,Send warmups,,,,,
,RPE 7; 235kg; 220-235-250-265,Competition Deadlift,2x1,235.00,,,
Primary DL,RPE 7; 205-210kg: 195-210-225-240,Competition Deadlift w/ straps,1x5,210.00,,,
,-12% previous set load ,Competition Deadlift w/ straps,2x7,,,,
,RPE 7-8 leave reps in tank,Chest PRESS with Competition Bench Grip,2x12,245.00,,,
,RPE 8-9,Hamstring curl unilateral,3x12 each leg,,,,
,RPE 7,Row that doesn't use traps or delts ,2x12 ,65.00,,,
,RPE 8-9,Rope Tricep Pushdown,2x12,28+1.25,,,
,,HAMMER CURL NO RANDOM BICEP CURL,3x,40.00,,,
,,,,,,,
(WED),,Short lever Copenhagen Planks for time,1x30 seconds each side,,,,
,,Rock back Breathing ,2x10 breaths ,,,,
,,Squat Hold Internal Rotation Breathing,2x10,,,,
(WED),,Send warmups,,,,,
,,,,,,,
,RPE 6; Load Capped @140kg ,SSB Hatfield Squat,3x7,140.00,,,
,,,,,,,
,,,,,,,
,"RPE 8, LEAVE 3 REPS IN TANK",Zercher Split Squat; left hand over right,3x12,30 kilos,,,
Secondary Squat,,,,,,,
,,,,,,,
Secondary Bench,RPE 6-7; 90kg,Controlled Touch and Go Comp Bench,1x7,90.00,,,
,85kg,Controlled Touch and Go Comp Bench,2x7,85.00,,,
,RPE 8-9,Leg Extension,3x12,,,,
,RPE 8-9,Hamstring curl unilateral,3x12 each leg,,,,
,,Weighted knee raise,,,,,
,,,,,,,
(Thursday ),,Crab Position Breathing,3x10 breaths ,,,,
,,,,,,,
,RPE 5-6; 107.5-110kg,Tempo Comp Bench,1x1,110.00,,,
,RPE 6; 92.5-97.5kg,Comp Bench,1x6,97.50,,,
,85kg,Comp Bench,2x7,85.00,,,
,RPE 8-9,Rope Tricep Pushdown,3x12,,,,
,,HAMMER CURL NO RANDOM BICEP CURL, 4x12,,,,
,,Row non delt ,4x12,,,,
,,),,,,,
(Saturday),,Short lever Copenhagen Planks for time,1x30 seconds each side,,,,
,,Rock back Breathing ,2x10 breaths ,,,,
,,Squat Hold Internal Rotation Breathing,2x10,,,,
,,Left side lying right leg propulsion ,2x10 breaths,,,,
,,,,,,,
,,,,,,,
,,Send warmups,,,,,
Primary Squat,172.5-182.5-195-210,Comp Squat,1x2,182.50,,,
,152.5-157.5-162.5-150kg,Comp Squat,3x4,157.50,,,
,,,,,,,
,RPE 7,Trap Bar DL with controlled eccentric (use straps),1x8,185.00,,,
,-12% previous set load,Trap Bar DL with controlled eccentric (use straps),2x8,,,,
,"RPE 7, Leave Reps in tank, feel stretch",Cable abduction ,2x12,,,,
,"RPE 7, Leave Reps in tank, feel stretch",Unilateral Leg Extension with Pause at the Top ,2x12 each leg ,,,,
,"RPE 7, Leave Reps in tank, feel stretch",Abductor Machine,3x12,,,,
,Easy for health,Cable adduction,3x12 each leg,,,,
,,,,,,,
,,,,,,,
(Sunday ),,Crab Position Breathing,3x10 breaths ,,,,
,,,,,,,
,RPE 7; 117.5 to 120: plan 115-120-125-132.5/135/137.5,Comp Bench,1x1,120.00,,,
,RPE 7; 100-105: plan: 102.5-105-110/107.5-115/112.5,Comp Bench,1x5,105.00,,,
,-15% previous set load ,Comp Bench,2x7,90.00,,,
,RPE 8,Neutral Grip DB Bench Press,3x12,80.00,,,
,RPE 7,Row that doesn't use traps or delts ,4x12,65.00,,,
,,weighted knee raise ,,,,,
,,HAMMER CURL NO RANDOM BICEP CURL,,45.00,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Meet Day,Sunday 1/11/2026,,,,,
,Start Date,9/30/2025,,,,,
,Total Weeks,"14 Weeks
5 Days",,,,,
,Current Weeks Out,"-20 Weeks
6 Days",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,3,,,,,
,,4,,,,,
,,4,,,,,
,,4,,,,,
